Catch,Header,CruiseLocalID,HaulGear,HaulNumber,CatchDataType,CatchSpeciesCode,CatchSpeciesValidity,CatchSpeciesCategory,CatchSpeciesCategoryNumber,CatchWeightUnit,CatchSpeciesCategoryWeight,CatchSpeciesSex,CatchSubsampledNumber,CatchSubsamplingFactor,CatchSubsampleWeight,CatchLengthCode,CatchLengthClass,CatchLengthType,CatchNumberAtLength,CatchWeightAtLength
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,95,1,1,6.5
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,100,1,3,20.4
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,105,1,2,15.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,120,1,2,19.6
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,125,1,20,99.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,130,1,64,136.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,135,1,128,151.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,140,1,91,164.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,145,1,23,178.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,150,1,10,130.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,155,1,6,130.2
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,160,1,1,22.0
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,175,1,1,20.5
Catch,Record,20159001,PEL,5,R,126417,1,1,353,kg,118.53911631933708,,353,1,118.53911631933708,halfcm,205,1,1,35.5
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,80,1,1,4.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,100,1,1,7.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,105,1,7,58.1
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,110,1,16,94.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,115,1,9,91.8
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,120,1,8,92.8
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,125,1,16,126.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,130,1,26,130.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,135,1,28,144.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,140,1,5,78.0
Catch,Record,20159001,PEL,5,R,126425,1,1,125,kg,12.73077632799456,,125,1,12.73077632799456,halfcm,145,1,8,131.2
Catch,Record,20159001,PEL,6,R,127219,1,1,1,kg,0.018,,1,1,0.018,cm,110,1,1,
Catch,Record,20159001,PEL,6,R,126505,1,1,91,kg,62.838226303982054,,91,1,62.838226303982054,cm,40,1,3,
Catch,Record,20159001,PEL,6,R,126505,1,1,91,kg,62.838226303982054,,91,1,62.838226303982054,cm,50,1,17,
Catch,Record,20159001,PEL,6,R,126505,1,1,91,kg,62.838226303982054,,91,1,62.838226303982054,cm,60,1,67,
Catch,Record,20159001,PEL,6,R,126505,1,1,91,kg,62.838226303982054,,91,1,62.838226303982054,cm,70,1,4,
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,70,1,1,2.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,85,1,1,3.5
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,120,1,1,9.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,130,1,4,57.6
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,135,1,18,153.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,140,1,15,164.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,145,1,16,185.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,150,1,15,197.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,155,1,18,204.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,160,1,18,242.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,165,1,36,247.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,170,1,29,281.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,175,1,38,326.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,180,1,28,346.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,185,1,28,377.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,190,1,23,421.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,195,1,9,406.8
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,200,1,10,489.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,205,1,7,377.3
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,210,1,2,117.6
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,215,1,2,126.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,220,1,1,72.0
Catch,Record,20159001,PEL,6,R,126417,1,1,321,kg,58.21074733595064,,321,1,58.21074733595064,halfcm,225,1,1,73.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,100,1,2,14.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,105,1,5,40.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,110,1,13,93.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,115,1,10,103.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,120,1,1,11.5
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,125,1,4,51.6
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,130,1,8,107.2
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,135,1,6,87.0
Catch,Record,20159001,PEL,6,R,126425,1,1,51,kg,2.277013460459899,,51,1,2.277013460459899,halfcm,140,1,2,30.6
Catch,Record,20159001,PEL,7,R,127219,1,1,1,kg,0.012,,1,1,0.012,cm,100,1,1,
Catch,Record,20159001,PEL,7,R,126505,1,1,67,kg,4.58,,67,1,4.58,cm,40,1,1,
Catch,Record,20159001,PEL,7,R,126505,1,1,67,kg,4.58,,67,1,4.58,cm,50,1,29,
Catch,Record,20159001,PEL,7,R,126505,1,1,67,kg,4.58,,67,1,4.58,cm,60,1,37,
Catch,Record,20159001,PEL,7,R,126507,1,1,1,kg,0.002,,1,1,0.002,cm,50,1,1,
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,125,1,2,24.6
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,130,1,3,42.6
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,135,1,11,151.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,140,1,12,166.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,145,1,11,184.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,150,1,20,187.2
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,155,1,40,222.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,160,1,24,243.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,165,1,26,270.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,170,1,28,282.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,175,1,36,307.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,180,1,28,335.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,185,1,22,397.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,190,1,27,423.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,195,1,13,433.0
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,200,1,7,363.3
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,205,1,6,310.8
Catch,Record,20159001,PEL,7,R,126417,1,1,323,kg,66.1,,323,1,66.1,halfcm,210,1,7,424.2
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,105,1,1,9.0
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,110,1,3,27.6
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,115,1,5,52.5
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,120,1,2,23.0
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,125,1,2,25.0
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,130,1,3,41.4
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,135,1,4,58.4
Catch,Record,20159001,PEL,7,R,126425,1,1,21,kg,0.26,,21,1,0.26,halfcm,145,1,1,18.5
Catch,Record,20159001,PEL,8,R,127385,1,1,1,kg,0.001,,1,1,0.001,cm,140,1,1,
Catch,Record,20159001,PEL,8,R,126928,1,1,1,kg,0.001,,1,1,0.001,cm,30,1,1,
Catch,Record,20159001,PEL,8,R,127123,1,1,1,kg,0.001,,1,1,0.001,cm,50,1,1,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,30,1,3,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,40,1,12,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,50,1,29,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,60,1,24,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,70,1,1,
Catch,Record,20159001,PEL,8,R,126505,1,1,70,kg,19.648626179245284,,70,1,19.648626179245284,cm,80,1,1,
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,40,1,1,0.5
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,50,1,1,1.0
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,55,1,2,2.0
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,60,1,8,5.1
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,65,1,11,5.4
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,70,1,22,6.6
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,75,1,4,8.4
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,80,1,8,9.9
Catch,Record,20159001,PEL,8,R,126417,1,1,332,kg,164.60478125,,332,1,164.60478125,halfcm,85,1,4,11.4
